Date,Close
01/02/2019,84.48
01/03/2019,81.56
01/04/2019,84.76
01/07/2019,85.27
01/08/2019,86.54
01/09/2019,86.23
01/10/2019,85.9
01/11/2019,86.06
01/14/2019,84.5
01/15/2019,84.81
01/16/2019,83.21
01/17/2019,84.25
01/18/2019,84.59
01/22/2019,84.09
01/23/2019,83.69
01/24/2019,83.66
01/25/2019,84.69
01/28/2019,83.65
01/29/2019,84.41
01/30/2019,85.09
01/31/2019,86.16
02/01/2019,87.14
02/04/2019,86.97
02/05/2019,87.37
02/06/2019,87.58
02/07/2019,86.21
02/08/2019,86.83
02/11/2019,86.27
02/12/2019,87.51
02/13/2019,88.25
02/14/2019,93.26
02/15/2019,95.37
02/19/2019,94.91
02/20/2019,94.39
02/21/2019,93.47
02/22/2019,94.61
02/25/2019,94.39
02/26/2019,93.49
02/27/2019,93.8
02/28/2019,94.23
03/01/2019,95.75
03/04/2019,95.87
03/05/2019,95.78
03/06/2019,94.17
03/07/2019,92.55
03/08/2019,92.41
03/11/2019,94.73
03/12/2019,95.75
03/13/2019,96.93
03/14/2019,96.2
03/15/2019,96.91
03/18/2019,97.77
03/19/2019,98.72
03/20/2019,98.5
03/21/2019,99.64
03/22/2019,97.93
03/25/2019,97.93
03/26/2019,98.82
03/27/2019,98.52
03/28/2019,99.39
03/29/2019,100.67
04/01/2019,101.54
04/02/2019,102.04
04/03/2019,102.12
04/04/2019,101.98
04/05/2019,102.12
04/08/2019,102.23
04/09/2019,101.46
04/10/2019,101.33
04/11/2019,101.06
04/12/2019,101.67
04/15/2019,101.26
04/16/2019,99.17
04/17/2019,97.98
04/18/2019,99.03
04/22/2019,100.12
04/23/2019,101.97
04/24/2019,101.1
04/25/2019,101.83
04/26/2019,103.35
04/29/2019,101.26
04/30/2019,101.84
05/01/2019,101.79
05/02/2019,103.15
05/03/2019,103.75
05/06/2019,103.33
05/07/2019,101.37
05/08/2019,101.86
05/09/2019,101.67
05/10/2019,102.29
05/13/2019,101.35
05/14/2019,101.25
05/15/2019,101.84
05/16/2019,102.93
05/17/2019,101.97
05/20/2019,102.22
05/21/2019,102.38
05/22/2019,102.94
05/23/2019,102.89
05/24/2019,102.4
05/28/2019,102.02
05/29/2019,101.15
05/30/2019,102.33
05/31/2019,101.05
06/03/2019,103.95
06/04/2019,108.12
06/05/2019,108.5
06/06/2019,108.89
06/07/2019,110.06
06/10/2019,110.22
06/11/2019,110.16
06/12/2019,111.44
06/13/2019,110.03
06/14/2019,110.79
06/17/2019,110.81
06/18/2019,113.38
06/19/2019,114.28
06/20/2019,112.97
06/21/2019,112.88
06/24/2019,113.47
06/25/2019,113.86
06/26/2019,113.05
06/27/2019,112.76
06/28/2019,113.49
07/01/2019,113.57
07/02/2019,114.59
07/03/2019,115.34
07/05/2019,114.18
07/08/2019,114.1
07/09/2019,113.26
07/10/2019,114.57
07/11/2019,114.35
07/12/2019,113.31
07/15/2019,113.57
07/16/2019,113.48
07/17/2019,113.68
07/18/2019,114.94
07/19/2019,114.09
07/22/2019,115.94
07/23/2019,115.94
07/24/2019,115.44
07/25/2019,114.65
07/26/2019,115.11
07/29/2019,115.55
07/30/2019,115.79
